DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
163,124,2,206,0,0,61,63,0,0,0,0,0,0,0,0,0,0,668,100,104,668,34,0,52,0,206,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
164,60,2,206,0,0,61,63,0,0,0,0,0,0,0,0,0,0,663,100,104,668,35,0,50,0,206,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
165,107,1,206,0,0,60,63,0,0,0,0,0,0,0,0,0,0,665,100,104,668,36,0,52,0,206,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
166,44,2,206,0,0,62,62,0,0,0,0,0,0,0,0,0,0,667,100,104,668,35,0,55,0,202,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
167,103,2,206,0,0,60,61,0,0,0,0,0,0,0,0,0,0,660,99,104,665,35,0,56,0,201,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
168,101,2,206,0,0,61,61,0,0,0,0,0,0,0,0,0,0,674,99,104,665,35,0,56,0,202,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
169,116,1,205,0,0,61,61,0,0,0,0,0,0,0,0,0,0,677,99,104,665,35,0,56,0,202,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
170,94,1,206,0,0,61,61,0,0,0,0,0,0,0,0,0,0,671,99,104,665,35,0,56,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
171,161,0,206,0,0,61,61,0,0,0,0,0,0,0,0,0,0,659,99,104,665,36,0,56,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
172,44,0,206,0,0,61,62,0,0,0,0,0,0,0,0,0,0,682,99,104,668,35,0,54,0,202,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
